"filename", "language", "mcfunction", "comment", "blank", "total"
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\passivity\mad.mcfunction", "mcfunction", 5, 0, 1, 6
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\passivity\mad_line_2.mcfunction", "mcfunction", 3, 0, 0, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\passivity\sound\1.mcfunction", "mcfunction", 2, 0, 0, 2
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\passivity\sound\2.mcfunction", "mcfunction", 2, 0, 0, 2
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\passivity\sound\3.mcfunction", "mcfunction", 1, 0, 0, 1
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\run.mcfunction", "mcfunction", 21, 7, 2, 30
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\run_line_25.mcfunction", "mcfunction", 2, 0, 1, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\run_line_26.mcfunction", "mcfunction", 2, 0, 1, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_1\item\available.mcfunction", "mcfunction", 4, 0, 1, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_1\item\ban.mcfunction", "mcfunction", 4, 1, 2, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_1\item\change_ban_item_name.mcfunction", "mcfunction", 2, 0, 0, 2
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_1\run.mcfunction", "mcfunction", 3, 0, 0, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_1\use.mcfunction", "mcfunction", 5, 0, 0, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\action.mcfunction", "mcfunction", 5, 1, 0, 6
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\action_line_5.mcfunction", "mcfunction", 2, 0, 0, 2
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\action_single_move.mcfunction", "mcfunction", 7, 2, 0, 9
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\item\available.mcfunction", "mcfunction", 4, 0, 1, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\item\ban.mcfunction", "mcfunction", 4, 1, 2, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\item\change_ban_item_name.mcfunction", "mcfunction", 3, 0, 0, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\run.mcfunction", "mcfunction", 4, 2, 1, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_2\use.mcfunction", "mcfunction", 10, 7, 1, 18
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\action.mcfunction", "mcfunction", 6, 0, 0, 6
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\action_line_4.mcfunction", "mcfunction", 2, 0, 1, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\item\available.mcfunction", "mcfunction", 4, 0, 1, 5
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\item\ban.mcfunction", "mcfunction", 4, 1, 2, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\item\change_ban_item_name.mcfunction", "mcfunction", 3, 0, 0, 3
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\particle.mcfunction", "mcfunction", 6, 1, 0, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\particle2.mcfunction", "mcfunction", 6, 1, 0, 7
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\run.mcfunction", "mcfunction", 6, 2, 3, 11
"c:\Users\ROG\Desktop\.minecraft\versions\1.21.11-Fabric_0.18.4\saves\ShadowHunters2\datapacks\sh2_map_control\data\sh2\function\char\hezi\skill_3\use.mcfunction", "mcfunction", 10, 1, 0, 11
"Total", "-", 226, 45, 24, 295
